time,beach.x,presence,bluebottles,crt_salt,crt_temp,crt_u,crt_v,wnd_sfcWindspeed,wnd_uas,wnd_vas,wave_hs,wave_t01,wave_fp,wave_sin_dir,wave_cos_dir,wave_dir,wnd_dir
2017-12-11,1,0,0,35.687584,20.926544,-0.05981628,-0.09979553,4.625,-3.5947265625,-2.71875,1.0550834,6.0733333,0.10633331,0.9907284,-0.107468635,96.19092,232.8991923764257
2017-12-12,1,1,2,35.685905,21.019928,-0.09308145,-0.14252144,6.296875,-3.5087890625,-5.0732421875,1.2135001,5.650417,0.11600002,0.987387,0.051539566,87.011986,214.668763695532
2017-12-13,1,0,0,35.717796,21.626938,-0.19257179,-0.2725303,8.009765625,-3.4638671875,-7.1220703125,1.6850834,5.9791665,0.1294167,0.9507088,0.28101823,73.53294,205.9362858093159
2017-12-14,1,0,0,35.71276,21.47908,-0.111087374,-0.16632588,8.1171875,-2.0703125,-1.0048828125,1.7545,6.2704177,0.13116668,0.9410095,0.3350151,70.40342,244.1091136341145
2017-12-15,1,0,0,35.707726,21.44017,-0.04242073,-0.050965913,5.16796875,-0.44921875,-1.42578125,1.4136668,6.5054173,0.087291665,0.990416,0.0692673,85.99938,197.4879973761485
2017-12-16,1,0,1,35.72619,22.467422,-0.1330607,-0.19623402,5.66015625,-3.0,-0.7939453125,1.5225,5.914583,0.13070832,0.93868047,0.33357754,70.436386,255.17659590023663
2017-12-17,1,0,0,35.711082,22.412949,-0.15442365,-0.23041475,3.529296875,-2.2587890625,0.6484375,1.1549166,5.6287494,0.15308334,0.9330395,0.35543275,69.146126,286.01734672498185
2017-12-18,1,0,1,35.70101,22.397385,-0.034485914,-0.11688589,3.833984375,-2.3017578125,-2.5947265625,1.2207501,5.447083,0.15212502,0.89478403,0.44571927,63.520702,221.5759341157577
2017-12-19,1,0,0,35.72619,22.591934,-0.072328866,-0.16724142,6.380859375,-2.8349609375,-5.5185546875,1.609667,5.8700004,0.1365417,0.875546,0.4827458,61.129177,207.19021790614028
2017-12-20,1,0,0,35.65401,22.482986,-0.0982696,-0.055848874,5.17578125,-1.0439453125,3.74609375,1.2297502,6.1229157,0.13066669,0.91767985,0.34459797,69.418335,344.4281380386744
2017-12-21,1,0,0,35.6238,22.319565,-0.08484146,-0.0778222,4.98828125,-4.23046875,2.3564453125,1.4811668,5.3062496,0.15112498,0.8846628,-0.3837429,113.4499,299.11857405334496
2017-12-22,1,0,1,35.64394,22.467422,-0.07446516,-0.09796441,4.201171875,-2.56640625,-2.1015625,1.0835,5.4466667,0.15991667,0.97793293,-0.19842762,101.469894,230.6868563837358
2017-12-24,1,1,2,35.647297,22.218384,0.0021362957,0.021973327,8.439453125,-2.0,6.0537109375,1.3006667,5.1166663,0.16691667,0.70825315,-0.25288925,109.649635,341.7176915460799
2017-12-25,1,0,0,35.70101,22.070526,-0.025940733,-0.0076296274,6.67578125,-3.8642578125,4.9912109375,1.6089998,5.2766666,0.15662502,0.5933021,-0.78282946,142.8417,322.2525163126708
2017-12-26,1,0,0,35.711082,21.96936,-0.16144292,-0.18860438,5.65234375,-5.29296875,-1.2685546875,1.3557501,5.214584,0.16312498,0.8974692,-0.41982284,115.0695,256.52225986611427
2017-12-27,1,0,0,35.71444,21.922668,-0.18585773,-0.24292734,5.92578125,-3.01171875,-4.7509765625,1.217,5.023333,0.17104168,0.9917758,0.059324156,86.576866,212.371253014066
2017-12-28,1,0,0,35.737938,22.04718,-0.23041475,-0.32258064,6.65625,-3.1318359375,-5.8125,1.3636667,5.35875,0.15262501,0.938765,0.33195147,70.52618,208.3162527458124
2017-12-29,1,0,0,35.699333,22.08609,-0.18036439,-0.33936584,5.31640625,-2.0537109375,-4.1943359375,1.5740834,5.9249997,0.13575001,0.8918516,0.44797945,63.3295,206.08817783671685
2017-12-30,1,1,2,35.689262,22.156128,-0.20050661,-0.23071992,5.177734375,-3.0576171875,3.2158203125,1.38725,6.0729165,0.13200003,0.7497495,0.017892696,88.632904,316.4445749436718
2017-12-31,1,0,0,35.707726,22.397385,-0.22888882,-0.30426955,5.77734375,-3.26953125,-4.0908203125,1.4498334,5.668333,0.14579165,0.7847364,-0.37343535,115.44855,218.63311016148268
2018-01-01,1,0,0,35.709404,22.482986,-0.20508438,-0.22644734,5.279296875,0.0810546875,5.1787109375,0.922,5.1579165,0.16958334,0.716496,-0.6523497,132.31699,0.8966927087101908
2018-01-02,1,0,0,35.706047,22.451859,-0.19135106,-0.25543994,5.59375,-1.38671875,1.7177734375,0.9315,4.8008337,0.17370836,0.69621307,-0.4747939,124.29266,321.08686490692713
2018-01-03,1,0,1,35.73458,22.288437,-0.113528855,-0.1126133,7.39453125,-0.9921875,7.2578125,1.7170836,5.870416,0.13183333,0.22921436,-0.9718008,166.72845,352.2155693463147
2018-01-04,1,0,0,35.74465,22.226166,-0.18311106,-0.21393475,2.369140625,-1.0625,0.3388671875,0.9930835,5.643749,0.14787501,0.2527904,-0.96461457,165.3151,287.6892413779426
2018-01-06,1,0,0,35.737938,22.6931,-0.17975402,-0.26734215,7.09375,-3.1298828125,-6.234375,1.3062502,5.160833,0.16408335,0.90148574,0.36452782,67.98339,206.65831411776963
2018-01-07,1,0,1,35.729546,22.716446,-0.10498367,-0.12207404,5.154296875,-0.73828125,1.6103515625,1.2885002,5.5241656,0.14266667,0.92815727,0.30539593,71.786995,335.3704534445112
2018-01-08,1,0,0,35.687584,22.817627,-0.08117923,-0.17944884,4.57421875,-2.59375,-2.8369140625,1.0313332,5.369166,0.14454167,0.9240031,0.3679116,68.28896,222.43622978853497
2018-01-09,1,0,0,35.71444,23.572495,-0.06927702,-0.10895108,7.291015625,-1.1943359375,3.9150390625,1.3608332,5.4883327,0.14316666,0.64618653,-0.13421182,101.733406,343.0349599341548
2018-01-10,1,0,0,35.731224,23.339035,-0.10254219,-0.10711997,3.251953125,-0.8173828125,2.5126953125,1.3059999,5.8545837,0.13683335,0.3177127,-0.947452,161.46194,341.98023071822286
2018-01-12,1,0,0,35.74465,23.416855,-0.15778069,-0.25482956,6.65234375,-2.84765625,-5.5166015625,1.5058335,5.7916665,0.13291667,0.9308903,0.018284617,88.87474,207.30267242259865
2018-01-18,1,0,1,35.847042,21.883759,-0.135197,-0.18372142,3.736328125,-1.9755859375,-2.6357421875,2.14325,8.8,0.09133334,0.5811022,-0.8134214,144.45827,216.8529110529492
2018-01-19,1,0,0,35.831936,21.961578,-0.17761773,-0.2395703,4.36328125,-2.2841796875,-3.4560546875,1.2998334,7.4370823,0.10787502,0.6977187,-0.7138026,135.65283,213.4615599078189
2018-01-20,1,0,0,35.820183,22.039398,-0.15808588,-0.22827846,5.392578125,-2.4677734375,-4.3173828125,0.94333345,6.0654163,0.12483334,0.871695,-0.47716406,118.6962,209.75185922645505
2018-01-21,1,0,0,35.83697,22.61528,-0.1904355,-0.2618488,7.515625,-3.1796875,-6.6533203125,1.1155001,5.2145834,0.1394167,0.94823176,0.06640725,85.993965,205.5435962250535
2018-01-22,1,0,0,35.826897,22.6931,-0.17212439,-0.24597919,6.470703125,-3.21875,-5.5751953125,1.3964167,5.370833,0.15325,0.9364993,0.34519193,69.766205,209.99930233841368
