time,hour,beach.x,observer,abundance,council_report,beach_key,surf_club,slsa_branch,state,beach_lat,beach_lon,length,orientation,embaymentisation,beach.y,crt_salt,source,crt_closest_lat,crt_closest_lon,crt_temp,crt_u,crt_v,wnd_sfcWindspeed,wnd_temp,wnd_uas,wnd_vas,wnd_closest_lat,wnd_closest_lon,wave_closest_lat,wave_closest_lon,wave_hs,wave_t01,wave_cge,wave_fp,wave_sin_dir,wave_cos_dir,wave_dir
2023-09-25,8:30:00,Maroubra Beach (North),SK,109.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.536514,BeachWatch,-33.95000076293945,151.25,18.04712,-0.12665181,-0.15900144,3.984375,291.75,-1.2158203125,-3.1044921875,-33.99,151.29,-33.99992,151.26692,0.97541666,6.424583,3.570833,0.10454169,0.9586571,-0.21253718,102.50045
2023-09-27,9:00:00,Maroubra Beach (North),SK,10.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.533157,BeachWatch,-33.95000076293945,151.25,18.335068,-0.15594958,-0.1821955,3.26953125,291.609375,-2.6552734375,1.2861328125,-33.99,151.29,-33.99992,151.26692,1.3038334,7.0383325,7.3583336,0.091416694,0.90893054,-0.41253033,114.41156
2023-09-28,8:30:00,Maroubra Beach (North),JL,5.0,Beware,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.523087,BeachWatch,-33.95000076293945,151.25,18.397324,-0.13550219,-0.19196142,4.556640625,291.84375,-0.4130859375,-3.41796875,-33.99,151.29,-33.99992,151.26692,1.2935001,7.549999,7.3291664,0.10883331,0.7306042,-0.6769859,132.81853
2023-09-29,7:01:00,Maroubra Beach (North),JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.524765,BeachWatch,-33.95000076293945,151.25,18.552963,-0.065309614,-0.078127384,2.669921875,291.984375,-0.2626953125,-0.8369140625,-33.99,151.29,-33.99992,151.26692,0.9014167,8.030416,3.925,0.09270835,0.70417523,-0.7036044,134.97678
2023-10-01,11:00:00,Maroubra Beach (North),KP,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.513016,BeachWatch,-33.95000076293945,151.25,18.778656,-0.09277627,-0.12390515,6.8828125,292.609375,1.03515625,1.9755859375,-33.99,151.29,-33.99992,151.26692,1.5912501,6.8004165,10.420835,0.112625,0.7766904,-0.3592565,114.82279
2023-10-03,8:30:00,Maroubra Beach (North),Sk,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.533157,BeachWatch,-33.95000076293945,151.25,18.926514,-0.1821955,-0.26734215,8.361328125,292.75,-3.4248046875,-7.5927734375,-33.99,151.29,-33.99992,151.26692,1.58575,6.2000003,10.437501,0.13083333,0.92818785,0.3035981,71.88775
2023-10-04,7:56:00,Maroubra Beach (North),AS,2.0,Likely,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.526443,BeachWatch,-33.95000076293945,151.25,19.159973,-0.23773919,-0.32197028,9.91796875,292.75,2.0,-7.0615234375,-33.99,151.29,-33.99992,151.26692,2.2875004,7.8995824,24.604166,0.09858334,0.8720026,0.48675582,60.829544
2023-10-05,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.536514,BeachWatch,-33.95000076293945,151.25,18.879822,-0.030823695,-0.046388134,7.0625,291.765625,6.8076171875,1.5751953125,-33.99,151.29,-33.99992,151.26692,1.532167,8.36375,11.304168,0.09908334,0.6538752,-0.27223548,112.604
2023-10-09,7:58:00,Maroubra Beach (North),JL,1.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.595264,BeachWatch,-33.95000076293945,151.25,18.607437,-0.115970336,-0.15930662,5.076171875,291.875,-1.6875,-1.26953125,-33.99,151.29,-33.99992,151.26692,1.0497501,6.6733327,4.454167,0.11337501,0.48163983,-0.87054735,151.04596
2023-10-10,8:30:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.576797,BeachWatch,-33.95000076293945,151.25,18.366196,-0.11688589,-0.1208533,3.521484375,292.09375,-2.33984375,1.625,-33.99,151.29,-33.99992,151.26692,1.1140002,5.6787505,4.4458337,0.11995834,0.3575709,-0.9335275,159.04156
2023-10-11,11:45:00,Maroubra Beach (North),KP,1.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.568405,BeachWatch,-33.95000076293945,151.25,18.514053,-0.15808588,-0.22644734,5.650390625,292.125,-1.9423828125,-5.0654296875,-33.99,151.29,-33.99992,151.26692,0.8934999,5.6791663,2.7874997,0.13300002,0.68151337,-0.65681237,133.94263
2023-10-12,8:57:00,Maroubra Beach (North),DH/JL,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.56337,BeachWatch,-33.95000076293945,151.25,18.552963,-0.038148135,-0.071108125,7.892578125,291.90625,2.8681640625,-0.75390625,-33.99,151.29,-33.99992,151.26692,1.4149169,6.5345826,7.9791675,0.12154169,0.808888,-0.3150359,111.27931
2023-10-13,9:00:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.534836,BeachWatch,-33.95000076293945,151.25,18.311722,0.046388134,0.05767998,5.068359375,291.875,2.5703125,-0.3515625,-33.99,151.29,-33.99992,151.26692,1.4980001,7.8433337,10.041667,0.107958324,0.18297726,-0.97604614,169.38213
2023-10-16,10:10:00,Maroubra Beach (North),SK,0.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.544907,BeachWatch,-33.95000076293945,151.25,18.506271,0.20020142,0.25421917,9.94140625,292.484375,5.0205078125,7.6015625,-33.99,151.29,-33.99992,151.26692,2.0134997,7.1091676,21.674997,0.10029168,0.121689,-0.98796654,172.97818
2023-10-18,8:32:00,Maroubra Beach (North),DH,3.0,,nsw327A,Maroubra SLSC,Sydney Inc.,NSW,-33.9484,151.2569,500,107,0.7,Maroubra Beach (North),35.556656,BeachWatch,-33.95000076293945,151.25,18.444016,-0.020142216,-0.003357036,3.30859375,292.875,-2.6650390625,0.890625,-33.99,151.29,-33.99992,151.26692,1.6514999,7.086668,10.866666,0.10775,0.66140324,-0.7276252,137.7295
